timestamp,latitude,longitude,altitude,heading,pitch,roll,ve,vn,vu,ae,an,au,vheading,vpitch,vroll
1783590265000,48.066848,170.359237,3500.194000,25.890000,-0.630000,-7.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590266000,48.067272,170.359436,3498.592000,24.390000,-0.620000,-7.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590267000,48.067695,170.359611,3496.990000,22.740000,-0.850000,-8.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590268000,48.068225,170.359817,3495.227800,20.390000,0.000000,-8.710000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590269000,48.068572,170.359947,3494.266600,19.170000,0.040000,-8.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590270000,48.069026,170.360084,3493.145200,17.390000,0.560000,-8.820000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590271000,48.069480,170.360206,3492.504400,15.500000,1.010000,-8.710000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590272000,48.069950,170.360313,3492.344200,14.020000,1.420000,-8.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590273000,48.070507,170.360420,3492.504400,12.550000,1.770000,-8.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590274000,48.070888,170.360473,3492.824800,11.220000,1.740000,-8.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590275000,48.071353,170.360534,3493.305400,9.340000,1.930000,-8.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590276000,48.072135,170.360588,3494.106400,6.820000,2.010000,-8.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590277000,48.072502,170.360595,3494.426800,5.530000,1.720000,-7.910000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590278000,48.072978,170.360595,3494.587000,3.880000,1.580000,-8.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590279000,48.073448,170.360580,3494.587000,1.970000,1.530000,-8.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590280000,48.073921,170.360542,3494.266600,0.260000,1.460000,-8.190000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
